time,fill_level_grams_red,fill_level_grams_blue,fill_level_grams_green
1718715348,91.6229095637132,579.431126549688,184.2592847499127
1718715352,81.05831604971047,559.1641450114339,169.61084371918255
1718715356,71.70317538770749,539.2649241458605,154.78458453642045
1718715360,61.88139449899936,519.6611977456125,139.74945687607848
1718715364,51.68716323368495,499.75007542296856,124.33529034831429
1718715368,41.694874976146075,480.04714720853957,109.29171468757377
1718715372,31.12826344296806,459.72869205976565,94.1895481056772
1718715376,21.123185534927096,439.84685031485606,79.60020074708349
1718715380,10.726371087271227,419.8411479485137,64.3664004648195
1718715384,0.5620666259858194,399.6421963793308,49.36723364266168
1718715388,0.0,379.4698788277185,34.343466702048524
1718715392,0.0,359.4410788804029,19.354403611455048
1718715396,0.0,339.44190198772577,4.715356591950675
1718715400,0.0,319.6044142805258,0.0
1718715404,0.0,299.6422641436379,0.0
1718715408,0.0,279.62569951167865,0.0
1718715412,0.0,260.39567071843635,0.0
1718715416,0.0,239.73075088789622,0.0
1718715420,0.0,219.97053365593476,0.0
1718715424,0.0,200.33144332358262,0.0
1718715428,0.0,180.4456885277178,0.0
1718715432,0.0,160.52536743284847,0.0
1718715436,0.0,140.2490757435501,0.0
1718715440,0.0,120.3335412020125,0.0
1718715444,0.0,100.0967714506971,0.0
1718715448,0.0,80.29070590753918,0.0
1718715452,0.0,60.11781658040667,0.0
1718715456,789.5672920655134,39.656975592049655,0.0
1718715460,779.7491406495852,19.865051950249647,0.0
1718715464,769.9275612574604,0.0,0.0
1718715468,760.362867903839,0.0,0.0
1718715472,750.6618662901,0.0,0.0
1718715476,740.6315462809877,0.0,0.0
1718715480,730.387396246326,0.0,0.0
1718715484,720.9425132167033,0.0,0.0
1718715488,710.9104288206885,0.0,0.0
1718715492,700.716408051234,0.0,0.0
1718715496,690.4709122547326,0.0,0.0
1718715500,680.0196144862757,0.0,0.0
1718715504,669.7689196173937,0.0,0.0
1718715508,659.5317381288431,0.0,0.0
1718715512,649.4311349275683,0.0,0.0
1718715516,639.0859103306891,0.0,0.0
1718715520,629.5149324714131,0.0,0.0
1718715524,619.0475832017441,0.0,0.0
1718715528,609.4121170556876,0.0,0.0
1718715532,599.7050751135507,0.0,0.0
1718715536,589.7240294070162,0.0,0.0
1718715540,579.9244646580912,0.0,0.0
1718715544,569.7174821733046,0.0,0.0
1718715548,559.7878515376063,0.0,0.0
1718715552,549.5969388781444,0.0,0.0
